,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
          Female,355,159,95.9,9.4,10.8,15.7,85.1,16.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6
"3655 Healthcare support workers, all other, including medical equipment preparers 3655 (SOC 31-909X)",355,121,100,10,4.2,5.7,71.8,17.3,0,10,18.3,15.3,0,10,0,10,0,10,5.6,9
          Male,35,33,9.9,10.2,0,10,5.6,8.6,0,10,4.2,7.1,0,10,0,10,0,10,0,10
          Female,315,121,88.7,10.5,4.2,5.7,64.8,16.6,0,10,14.1,14,0,10,0,10,0,10,5.6,9
3700 First-line supervisors of correctional officers 3700 (SOC 33-1011),180,125,100,18.7,0,18.7,100,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
          Male,105,104,58.3,33.5,0,18.7,58.3,33.5,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
          Female,75,71,41.7,33.5,0,18.7,41.7,33.5,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
3710 First-line supervisors of police and detectives 3710 (SOC 33-1012),610,184,100,6,25.4,12.3,66.4,13,4.1,5.4,1.6,2.8,0,6,2.5,21.3,0,6,0,6
          Male,355,158,58.2,19.2,23.8,12.4,26.2,14.8,4.1,5.4,1.6,2.8,0,6,2.5,21.3,0,6,0,6
          Female,255,139,41.8,19.5,1.6,2.8,40.2,19.3,0,6,0,6,0,6,0,6,0,6,0,6
3720 First-line supervisors of fire fighting and prevention workers 3720 (SOC 33-1021),45,38,100,47.5,66.7,50.2,33.3,51.8,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
          Male,45,38,100,47.5,66.7,50.2,33.3,51.8,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
          Female,0,127,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
"3730 First-line supervisors of protective service workers, all other 3730 (SOC 33-1099)",880,223,100,4.2,11.4,6.5,76.1,9,0,4.2,0,4.2,0,4.2,5.1,15.3,2.8,4.8,5.1,4.4
          Male,555,156,63.1,11.9,9.1,6.6,47.7,12.3,0,4.2,0,4.2,0,4.2,3.4,15.1,0,4.2,2.8,3.6
          Female,325,147,36.9,12.1,2.3,3.4,28.4,10.5,0,4.2,0,4.2,0,4.2,1.7,14.7,2.8,4.8,1.7,3.3
3740 Firefighters 3740 (SOC 33-2011),835,227,100,4.4,16.8,7.7,77.8,9.8,1.2,2.6,0,4.4,0,4.4,0,4.4,1.2,2.5,2.4,4.4
          Male,800,225,95.8,4.3,13.8,7.3,76,10.3,1.2,2.6,0,4.4,0,4.4,0,4.4,1.2,2.5,2.4,4.4
          Female,35,37,4.2,4.4,3,3.2,1.8,2.7,0,4.4,0,4.4,0,4.4,0,4.4,0,4.4,0,4.4
3750 Fire inspectors 3750 (SOC 33-2020),35,32,100,53.8,28.6,58.6,71.4,57.4,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
          Male,35,32,100,53.8,28.6,58.6,71.4,57.4,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
          Female,0,127,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
"3800 Bailiffs, correctional officers, and jailers 3800 (SOC 33-3010)","1,295",329,100,2.9,1.9,2.4,96.9,3.5,0,2.9,0,2.9,0,2.9,1.2,10.1,0,2.9,0,2.9
          Male,745,235,57.5,10.4,1.9,2.4,55.6,10.6,0,2.9,0,2.9,0,2.9,0,2.9,0,2.9,0,2.9
          Female,550,193,42.5,10.5,0,2.9,41.3,10.5,0,2.9,0,2.9,0,2.9,1.2,10.1,0,2.9,0,2.9
3820 Detectives and criminal investigators 3820 (SOC 33-3021),900,202,100,4.1,17.8,7.3,70.6,10,0,4.1,0,4.1,0,4.1,11.1,16.4,0,4.1,0.4,1.7
          Male,655,195,72.8,12.6,12.2,6.5,48.9,12.6,0,4.1,0,4.1,0,4.1,11.1,21.7,0,4.1,0.4,1.7
          Female,245,118,27.2,12.7,5.6,4.7,22.2,11.8,0,4.1,0,4.1,0,4.1,0,4.1,0,4.1,0,4.1
3840 Miscellaneous law enforcement workers 3840 (SOC 33-30XX),135,90,100,23.9,7.4,12.7,81.5,21.3,0,23.9,0,23.9,0,23.9,0,23.9,11.1,19,0,23.9
          Male,60,60,44.4,36.3,7.4,12.7,37,35.1,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9
          Female,80,69,59.3,36.4,0,23.9,44.4,35.4,0,23.9,0,23.9,0,23.9,0,23.9,11.1,19,0,23.9
3850 Police officers 3850 (SOC 33-3050),"4,410",565,100,0.8,17.2,4.2,72.9,4.6,0,0.8,0.9,0.8,0,0.8,4.2,2.4,2.9,2.2,1.8,1.2
          Male,"3,030",480,68.7,5.4,14.4,4.2,47.1,5.1,0,0.8,0.7,0.7,0,0.8,2.8,3.6,2.2,1.9,1.7,1.2
          Female,"1,380",278,31.3,5.4,2.8,1.3,25.9,5.3,0,0.8,0.2,0.4,0,0.8,1.4,3.1,0.8,1.2,0.2,0.3
3910 Private detectives and investigators 3910 (SOC 33-9021),455,156,100,7.9,25.3,11,74.7,11.3,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9
          Male,110,60,24.2,11.1,7.7,8.6,16.5,9.4,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9
          Female,345,132,75.8,11.5,17.6,9,58.2,10.7,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9,0,7.9
3930 Security guards and gaming surveillance officers 3930 (SOC 33-9030),"10,290",798,100,0.4,5.4,1.5,90.8,1.8,0.1,0.3,0.9,0.5,0,0.4,1.3,1.4,0.5,0.5,1.1,0.8
          Male,"6,825",699,66.3,3.4,3.6,1.3,59.8,3.4,0.1,0.3,0.9,0.5,0,0.4,0.7,1.3,0.4,0.4,0.9,0.8
          Female,"3,465",381,33.7,3.4,1.8,0.9,31,3,0,0.4,0,0.4,0,0.4,0.6,1.4,0,0.1,0.2,0.3
3940 Crossing guards 3940 (SOC 33-9091),180,94,100,18.7,16.7,17.6,63.9,22.5,0,18.7,0,18.7,0,18.7,0,18.7,13.9,19.4,5.6,7.8
          Male,55,48,30.6,21.7,0,18.7,11.1,15.5,0,18.7,0,18.7,0,18.7,0,18.7,13.9,19.4,5.6,7.8
          Female,125,74,69.4,21,16.7,17.6,52.8,22.9,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
3945 Transportation security screeners 3945 (SOC 33-9093),175,115,100,19.2,0,19.2,100,19.2,0,19.2,0,19.2,0,19.2,0,19.2,0,19.2,0,19.2
          Male,120,95,68.6,29.8,0,19.2,68.6,29.8,0,19.2,0,19.2,0,19.2,0,19.2,0,19.2,0,19.2
          Female,55,61,31.4,29.6,0,19.2,31.4,29.6,0,19.2,0,19.2,0,19.2,0,19.2,0,19.2,0,19.2
"3955 Lifeguards and other recreational, and all other protective service workers 3955 (SOC 33-909X)","1,070",364,100,3.4,40.7,19.4,47.7,17.8,0,3.4,0.4,1.7,0,3.4,6.1,12.9,1.9,3.3,3.3,4.4
          Male,650,334,60.7,17.5,33.6,21.7,24.8,9.6,0,3.4,0,3.4,0,3.4,0.9,12,0,3.4,1.9,3.4
          Female,420,190,39.3,17.5,7,5.4,22.9,15.4,0,3.4,0.4,1.7,0,3.4,5.1,12.8,1.9,3.3,1.4,3
4000 Chefs and head cooks 4000 (SOC 35-1011),910,226,100,4,10.4,5.8,60.4,12.2,0,4,17,10.3,0,4,9.9,17.4,1.1,2.6,1.1,1.9
          Male,685,175,75.3,10.3,6,5,41.2,12.6,0,4,15.4,10,0,4,9.9,10.4,1.1,2.6,1.1,1.9
          Female,225,120,24.7,10.4,4.4,3.2,19.2,10.7,0,4,1.6,2.6,0,4,0,4,0,4,0,4
4010 First-line supervisors of food preparation and serving workers 4010 (SOC 35-1012),"1,515",259,100,2.4,6.3,4,67.7,9.4,0,2.4,3.3,2.3,0,2.4,2,8.9,12.9,7.2,8.3,4.7
          Male,730,188,48.2,9.5,2.6,2.3,29.7,9.2,0,2.4,2.3,2.2,0,2.4,0,2.4,5.3,4.6,8.3,4.7
          Female,785,193,51.8,9.5,3.6,3.2,38,9.7,0,2.4,1,1.3,0,2.4,2,8.9,7.6,5.1,0,2.4
4020 Cooks 4020 (SOC 35-2010),"5,690",620,100,0.7,6.9,2.5,43.8,4.7,0,0.7,6.4,2.8,0,0.7,1.8,2.7,18.7,4.6,22.4,5.1
          Male,"2,850",489,50.1,6,3.2,1.7,24.3,4.3,0,0.7,4.6,2.1,0,0.7,1.2,2.5,6,2.4,10.8,4.8
          Female,"2,840",431,49.9,6,3.8,1.8,19.4,4.3,0,0.7,1.8,1.3,0,0.7,0.5,2.3,12.7,4,11.6,3.5
4030 Food preparation workers 4030 (SOC 35-2021),"2,200",398,100,1.7,8,3.9,42.3,9.9,0,1.7,2.3,2.1,0,1.7,3.6,6.4,19.5,8.1,24.3,9.6
          Male,780,274,35.5,9.4,3,2.4,10.7,5.8,0,1.7,1.1,1.4,0,1.7,1.8,6.1,9.1,5,10,9.8
          Female,"1,420",294,64.5,9.4,5,3.4,31.6,8.5,0,1.7,1.1,1.3,0,1.7,1.8,6,10.7,5.9,14.3,5.9
4040 Bartenders 4040 (SOC 35-3011),655,196,100,5.6,43.5,15,26,13.4,0,5.6,1.5,2.2,0,5.6,9.2,21.6,16.8,14.8,3.1,4.1
          Male,350,155,53.4,15.6,19.8,10.3,13.7,9.4,0,5.6,1.5,2.2,0,5.6,0,5.6,16.8,14.8,2.3,3.6
          Female,305,128,46.6,15.6,22.9,12.1,13,9.7,0,5.6,0,5.6,0,5.6,9.2,21.6,0,5.6,1.5,2.3
"4050 Combined food preparation and serving workers, including fast food 4050 (SOC 35-3021)",755,205,100,4.8,9.9,6.8,63.6,11.8,0,4.8,4,4.9,0,4.8,1.3,17,4.6,5.4,16.6,10.7
          Male,330,153,43.7,14.8,2.6,2.9,29.1,13.2,0,4.8,0,4.8,0,4.8,1.3,17,3.3,5.1,7.3,8.1
          Female,425,148,56.3,14.8,7.3,6.5,33.8,11.6,0,4.8,4,4.9,0,4.8,0,4.8,2,2.8,9.3,7.1
"4060 Counter attendants, cafeteria, food concession, and coffee shop 4060 (SOC 35-3022)",525,176,100,6.9,17.1,11.2,68.6,15.1,0,6.9,1.9,3.9,0,6.9,4.8,24.7,8.6,8.1,0,6.9
          Male,160,79,30.5,12.1,6.7,8.2,21,10.7,0,6.9,1.9,3.9,0,6.9,0,6.9,0,6.9,0,6.9
          Female,365,142,69.5,12,9.5,9,47.6,14.6,0,6.9,0,6.9,0,6.9,4.8,24.7,8.6,8.1,0,6.9
4110 Waiters and waitresses 4110 (SOC 35-3031),"4,735",533,100,0.8,24.3,4.3,41.3,5.9,0.8,1.2,5.4,2.6,0.3,0.7,0.6,2.8,9.6,3.2,17.5,4.8
          Male,"2,325",360,49.1,5.3,7.9,2.6,25.4,5.1,0,0.8,3.4,2,0.3,0.7,0.6,2.8,2.5,1.5,8.8,3.5
          Female,"2,410",373,50.9,5.3,16.4,3.6,15.8,3.5,0.8,1.2,2,1.8,0,0.8,0.1,2.7,7,3,8.8,3.9
"4120 Food servers, nonrestaurant 4120 (SOC 35-3041)",665,183,100,5.5,13.5,8.9,62.4,12.6,0,5.5,9.8,9,0,5.5,0,5.5,10.5,9,3,4
          Male,290,117,43.6,12.4,8.3,8.3,22.6,10.8,0,5.5,3,4.4,0,5.5,0,5.5,10.5,9,0,5.5
          Female,370,129,55.6,12.4,6,5,39.8,12.6,0,5.5,6.8,6.4,0,5.5,0,5.5,0,5.5,3,4
"4130 Miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers 4130 (SOC 35-90XX)",920,247,100,4,6,5.1,45.1,11.8,0,4,3.3,2.9,0,4,7.1,14.8,9.8,6.9,29.9,13.1
          Male,425,163,46.2,10.9,2.2,2.8,18.5,8.2,0,4,3.3,2.9,0,4,4.9,14.4,1.6,2.2,16.3,9.1
          Female,500,150,54.3,11,3.8,4.5,26.6,10.3,0,4,0,4,0,4,2.2,14.3,8.2,7,13.6,7.3
4140 Dishwashers 4140 (SOC 35-9021),290,134,100,12.1,0,12.1,37.9,20.1,0,12.1,0,12.1,0,12.1,0,12.1,39.7,22.8,22.4,15.9
          Male,145,78,50,20.5,0,12.1,29.3,18.8,0,12.1,0,12.1,0,12.1,0,12.1,6.9,8.7,13.8,11.6
          Female,145,97,50,20.8,0,12.1,10.3,11.2,0,12.1,0,12.1,0,12.1,0,12.1,32.8,22.2,8.6,12.8
"4150 Hosts and hostesses, restaurant, lounge, and coffee shop 4150 (SOC 35-9031)",730,246,100,5,13.7,9,76,12.5,0,5,4.8,6.3,0,5,2.7,17.6,0,5,2.7,4.7
          Male,270,160,37,17.4,4.1,3.9,31.5,17.1,0,5,0,5,0,5,1.4,17.5,0,5,0,5
          Female,460,200,63,17.3,9.6,7.6,44.5,17.2,0,5,4.8,6.3,0,5,1.4,17.5,0,5,2.7,4.7
4200 First-line supervisors of housekeeping and janitorial workers 4200 (SOC 37-1011),"1,125",164,100,3.3,4,3.5,70.2,11.6,0,3.3,5.3,4.4,0,3.3,2.7,12.2,1.8,2.5,16,9.5
          Male,565,176,50.2,12.7,2.7,2.8,36.9,12.1,0,3.3,3.6,3.8,0,3.3,2.7,12.2,0,3.3,4.9,4.3
          Female,560,152,49.8,12.7,1.3,2.2,33.3,10.6,0,3.3,1.8,2.5,0,3.3,0,3.3,1.8,2.5,11.6,9.4
"4210 First-line supervisors of landscaping, lawn service, and groundskeeping workers 4210 (SOC 37-1012)",475,171,100,7.6,6.3,5.6,18.9,11.4,0,7.6,2.1,4.3,0,7.6,0.8,26.8,63.2,14,9.5,8.2
          Male,465,168,97.9,4.5,6.3,5.6,15.8,11.6,0,7.6,2.1,4.3,0,7.6,0.8,53.5,63.2,14,9.5,8.2
          Female,15,22,3.2,4.6,0,7.6,3.2,4.6,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6
4220 Janitors and building cleaners 4220 (SOC 37-201X),"8,940",780,100,0.4,6.7,1.9,48.9,4.3,0,0.4,2.5,1.1,0.2,0.3,1.1,0.8,17.2,2.9,23.5,3.9
          Male,"5,650",625,63.2,3.8,5.4,1.7,38.1,4.4,0,0.4,1.8,0.9,0,0.4,1.1,0.8,8.8,2,8.1,2.3
          Female,"3,290",413,36.8,3.8,1.3,0.8,10.9,2.3,0,0.4,0.7,0.6,0.2,0.3,0,0,8.3,2.1,15.4,2.9
4230 Maids and housekeeping cleaners 4230 (SOC 37-2012),"6,405",539,100,0.6,3.3,1.6,25.8,4.1,0,0.6,3.4,1.8,0,0.6,0.8,2.1,28.6,4.9,38,5.2
          Male,530,158,8.3,2.4,0,0.6,6.2,2.1,0,0.6,0.4,0.6,0,0.6,0,0.6,0.2,0.4,1.4,0.9
          Female,"5,875",512,91.7,2.4,3.3,1.6,19.5,3.2,0,0.6,2.9,1.6,0,0.6,0.8,2.1,28.4,5,36.6,5
4240 Pest control workers 4240 (SOC 37-2021),270,138,100,12.9,0,12.9,85.2,16.8,0,12.9,3.7,7.6,0,12.9,0,12.9,11.1,16.2,0,12.9
          Male,270,138,100,12.9,0,12.9,85.2,16.8,0,12.9,3.7,7.6,0,12.9,0,12.9,11.1,16.2,0,12.9
          Female,0,127,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9
4250 Grounds maintenance workers 4250 (SOC 37-3010),"4,230",634,100,0.9,7,3,23.4,5.2,0,0.9,1.1,1.1,0,0.9,0.2,3,32.3,7.3,35.9,7.5
          Male,"4,060",610,96,2.6,6.6,2.9,21.3,5,0,0.9,1.1,1.1,0,0.9,0.2,3,30.9,6.9,35.9,7.5
          Female,170,114,4,2.6,0.5,0.6,2.1,1.5,0,0.9,0,0.9,0,0.9,0,0.9,1.4,2.2,0,0.9
4300 First-line supervisors of gaming workers 4300 (SOC 39-1010),220,108,100,15.6,9.1,11.1,77.3,19,0,15.6,0,15.6,0,15.6,0,15.6,13.6,16.9,0,15.6
          Male,60,47,27.3,21.7,6.8,9.8,6.8,14.3,0,15.6,0,15.6,0,15.6,0,15.6,13.6,16.9,0,15.6
          Female,160,103,72.7,21.8,4.5,7.1,70.5,23.6,0,15.6,0,15.6,0,15.6,0,15.6,0,15.6,0,15.6
4320 First-line supervisors of personal service workers 4320 (SOC 39-1021),390,140,100,9.2,15.4,12.9,69.2,18.5,0,9.2,14.1,15,0,9.2,0,9.2,0,9.2,0,9.2
          Male,90,55,23.1,13.3,2.6,3.6,14.1,10.4,0,9.2,6.4,9.9,0,9.2,0,9.2,0,9.2,0,9.2
          Female,300,127,76.9,13.2,14.1,12.3,55.1,19.1,0,9.2,7.7,11.9,0,9.2,0,9.2,0,9.2,0,9.2
4340 Animal trainers 4340 (SOC 39-2011),130,122,100,24.7,26.9,41,53.8,49.7,0,24.7,0,24.7,0,24.7,0,24.7,23.1,32.2,0,24.7
          Male,100,117,76.9,42.1,0,24.7,53.8,49.7,0,24.7,0,24.7,0,24.7,0,24.7,23.1,32.2,0,24.7
          Female,35,37,26.9,41,26.9,41,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7
4350 Nonfarm animal caretakers 4350 (SOC 39-2021),445,221,100,8.1,18,13.2,70.8,14.8,0,8.1,0.9,4.3,0,8.1,0,8.1,0,8.1,9,10.9
          Male,120,81,27,14,3.4,7.6,21.3,13.4,0,8.1,0,8.1,0,8.1,0,8.1,0,8.1,0.9,2.2
          Female,325,178,73,13.8,14.6,9.5,49.4,16.6,0,8.1,0.9,4.3,0,8.1,0,8.1,0,8.1,7.9,11.4
4400 Gaming services workers 4400 (SOC 39-3010),45,46,100,47.5,44.4,55.6,66.7,56,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
          Male,35,43,77.8,43.5,44.4,55.6,44.4,55.6,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
          Female,10,17,22.2,42.2,0,47.5,22.2,42.2,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
4410 Motion picture projectionists 4410 (SOC 39-3021),15,26,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,15,26,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
"4420 Ushers, lobby attendants, and ticket takers 4420 (SOC 39-3031)",255,106,100,13.6,17.6,17.6,82.4,18.4,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6
          Male,175,87,68.6,19.3,11.8,13.4,56.9,19.2,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6
          Female,80,57,31.4,18.6,7.8,8.7,25.5,18.9,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6,0,13.6
4430 Miscellaneous entertainment attendants and related workers 4430 (SOC 39-3090),625,176,100,5.8,16.8,9.7,66.4,12.6,0,5.8,4,5.4,0,5.8,1.6,20.5,5.6,6,5.6,8.1
          Male,290,118,46.4,12,8.8,7.3,38.4,12.3,0,5.8,0,5.8,0,5.8,0,5.8,0,5.8,0,5.8
          Female,330,113,52.8,12.3,8,7.7,28,12.7,0,5.8,4,5.4,0,5.8,1.6,20.5,5.6,6,5.6,8.1
4460 Embalmers and funeral attendants 4460 (SOC 39-40XX),55,78,100,43,0,43,100,43,0,43,0,43,0,43,0,43,0,43,0,43
          Male,45,77,81.8,46.1,0,43,81.8,46.1,0,43,0,43,0,43,0,43,0,43,0,43
          Female,10,14,18.2,41.9,0,43,18.2,41.9,0,43,0,43,0,43,0,43,0,43,0,43
"4465 Morticians, undertakers, and funeral directors 4465 (SOC 39-4031)",80,86,100,35.3,0,35.3,100,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3
          Male,40,67,50,42.5,0,35.3,50,42.5,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3
          Female,40,37,50,42.2,0,35.3,50,42.2,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3
4500 Barbers 4500 (SOC 39-5011),545,209,100,6.6,4.6,5.9,81.7,12.5,0,6.6,4.6,6.9,0,6.6,0,6.6,0,6.6,9.2,9.7
          Male,450,187,82.6,12.5,4.6,5.9,77.1,13,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6
          Female,95,73,17.4,12,0,6.6,4.6,6.2,0,6.6,4.6,6.9,0,6.6,0,6.6,0,6.6,9.2,9.7
"4510 Hairdressers, hairstylists, and cosmetologists 4510 (SOC 39-5012)","2,380",408,100,1.6,10.1,4.4,81.7,5.7,1.1,1.8,2.1,1.6,0,1.6,2.1,5.9,0.4,0.7,2.7,2
          Male,215,98,9,3.8,2.7,2.4,5.3,3.1,0,1.6,0,1.6,0,1.6,0.6,5.4,0,1.6,0.4,0.8
          Female,"2,170",382,91.2,3.9,7.1,3.8,76.5,6.8,1.1,1.8,2.1,1.6,0,1.6,1.5,5.9,0.4,0.7,2.3,2
4520 Miscellaneous personal appearance workers 4520 (SOC 39-5090),715,186,100,5.1,4.2,4.5,27.3,12.2,0,5.1,61.5,13.7,0,5.1,0,5.1,1.4,1.9,5.6,5.7
          Male,60,47,8.4,6.4,0,5.1,0,5.1,0,5.1,8.4,6.4,0,5.1,0,5.1,0,5.1,0,5.1
          Female,660,180,92.3,6.4,4.2,4.5,27.3,12.2,0,5.1,53.1,11.2,0,5.1,0,5.1,1.4,1.9,5.6,5.7
"4530 Baggage porters, bellhops, and concierges 4530 (SOC 39-6010)",485,201,100,7.4,5.2,6.9,80.4,18,0,7.4,2.1,3.3,0,7.4,6.2,27.8,0,7.4,6.2,9.2
          Male,255,135,52.6,17.1,5.2,6.9,34,15.1,0,7.4,2.1,3.3,0,7.4,6.2,27.8,0,7.4,6.2,9.2
          Female,225,125,46.4,16.9,0,7.4,46.4,16.9,0,7.4,0,7.4,0,7.4,0,7.4,0,7.4,0,7.4
4540 Tour and travel guides 4540 (SOC 39-7010),95,76,100,31.4,31.6,30.8,31.6,37.2,0,31.4,26.3,36.2,0,31.4,10.5,134.3,0,31.4,0,31.4
          Male,30,36,31.6,31.8,21.1,28.2,0,31.4,0,31.4,0,31.4,0,31.4,10.5,134.3,0,31.4,0,31.4
          Female,65,59,68.4,32.2,10.5,18.5,31.6,37.2,0,31.4,26.3,36.2,0,31.4,0,31.4,0,31.4,0,31.4
4600 Childcare workers 4600 (SOC 39-9011),"5,590",649,100,0.7,12.3,3,58.9,4.4,0,0.7,6.6,2.2,0,0.7,1.9,2.6,9.1,3.3,11.1,3.4
          Male,330,149,5.9,2.5,0.4,0.7,3.9,2.2,0,0.7,0.2,0.3,0,0.7,0.2,2.3,0.2,0.2,1,1.1
          Female,"5,260",620,94.1,2.5,11.8,2.8,55,4.6,0,0.7,6.4,2.2,0,0.7,1.7,2.5,8.9,3.3,10.2,3.4
4610 Personal care aides 4610 (SOC 39-9021),"1,435",293,100,2.6,4.9,4.2,85.4,6,0,2.6,2.4,2.7,0,2.6,2.1,9.2,0.3,0.6,4.9,4.4
          Male,165,84,11.5,5.8,0,2.6,9.4,5,0,2.6,1,1.6,0,2.6,1.4,9.1,0,2.6,0,2.6
          Female,"1,265",283,88.2,5.7,4.9,4.2,76,8.3,0,2.6,1.4,2.1,0,2.6,0.7,8.9,0.3,0.6,4.9,4.4
4620 Recreation and fitness workers 4620 (SOC 39-9030),"1,295",267,100,2.9,20.5,7.8,59.8,10.8,1.2,2.3,2.7,3.1,0,2.9,7.3,11.2,0.3,0.8,8.5,6.7
          Male,630,195,48.6,10.6,4.6,4.8,32.4,10.4,1.2,2.3,2.7,3.1,0,2.9,5.4,10.9,0,2.9,2.3,2.3
          Female,670,190,51.7,10.6,15.8,6.8,27.4,9,0,2.9,0,2.9,0,2.9,2.3,10.2,0.3,0.8,6.2,5.9
4640 Residential advisors 4640 (SOC 39-9041),400,185,100,8.9,16.3,14.7,83.8,14.8,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9
          Male,140,91,35,19.9,5,7.9,31.3,18.5,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9
          Female,260,157,65,20.3,12.5,12.1,52.5,21.5,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9
"4650 Personal care and service workers, all other 4650 (SOC 39-9099)",415,151,100,8.6,12,10.7,77.1,14.6,0,8.6,3.6,5.2,0,8.6,2.4,30.8,2.4,3.5,3.6,5.4
          Male,220,125,53,19.6,7.2,8.1,39.8,21.6,0,8.6,0,8.6,0,8.6,2.4,30.8,0,8.6,3.6,5.4
          Female,195,94,47,19.5,4.8,6.1,37.3,18.2,0,8.6,3.6,5.2,0,8.6,0,8.6,2.4,3.5,0,8.6
4700 First-line supervisors of retail sales workers 4700 (SOC 41-1011),"6,680",662,100,0.6,19,3.3,62.6,4.4,0,0.6,6.1,2.1,0,0.6,2.5,2.4,6.2,2.4,3.4,1.7
          Male,"3,280",423,49.1,4.4,13.1,2.9,27.8,3.7,0,0.6,3.8,1.5,0,0.6,0.4,2,2.7,2,1.3,1
          Female,"3,400",464,50.9,4.4,6,1.8,34.8,4.4,0,0.6,2.4,1.2,0,0.6,2.1,2.3,3.5,1.8,2.1,1.4
4710 First-line supervisors of non-retail sales workers 4710 (SOC 41-1012),"2,290",410,100,1.6,19,5.1,69,7.3,0.7,1.1,2.6,1.9,0,1.6,1.5,5.8,4.1,2.6,3.1,2.5
          Male,"1,335",294,58.3,7.1,13.8,5,35.6,7.5,0,1.6,2.2,1.6,0,1.6,0.7,5.7,3.1,2.3,3.1,2.5
          Female,955,231,41.7,7.1,5.2,2.5,33.4,6.7,0.7,1.1,0.4,0.8,0,1.6,0.7,5.7,1.1,1.5,0,1.6
4720 Cashiers 4720 (SOC 41-2010),"12,685",934,100,0.3,11.4,2.1,66.4,2.7,0,0.3,5.2,1.4,0,0.3,1.7,1.3,6.7,1.7,8.5,2.2
          Male,"4,155",514,32.8,3.5,2.5,1.1,23.1,3.1,0,0.3,2.2,0.9,0,0.3,0.3,0.3,2.3,1.1,2.3,1.1
          Female,"8,530",800,67.2,3.5,8.9,2,43.3,3.3,0,0.3,3,1,0,0.3,1.4,1.3,4.4,1.4,6.2,2
4740 Counter and rental clerks 4740 (SOC 41-2021),310,120,100,11.4,32.3,18.3,58.1,20.6,0,11.4,0,11.4,0,11.4,0,11.4,8.1,11.3,0,11.4
          Male,160,70,51.6,20.6,22.6,18,29,16.9,0,11.4,0,11.4,0,11.4,0,11.4,1.3,0.6,0,11.4
          Female,150,99,48.4,20.7,11.3,11.1,30.6,21.7,0,11.4,0,11.4,0,11.4,0,11.4,6.5,12,0,11.4
4750 Parts salespersons 4750 (SOC 41-2022),300,127,100,11.7,38.3,25.7,58.3,24.7,0,11.7,0,11.7,0,11.7,0,11.7,3.3,6.1,0,11.7
          Male,295,126,98.3,4.3,38.3,25.7,56.7,24.1,0,11.7,0,11.7,0,11.7,0,11.7,3.3,6.1,0,11.7
          Female,4,12,1.3,4.3,0,11.7,1.3,4.3,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
